State,District,Candidate,Party,"Incumbent/
Challenger/Open",Receipts,"Contributions 
from Individuals","Contributions
from PACs and
Other Committees","Contributions and
Loans from 
 the Candidate",Disbursements,Cash On Hand,Debts,Coverage End Date
Florida,20,"CHERFILUS-MCCORMICK, SHEILA",Democratic Party,Challenger,"$31,240","$17,699",$0,"$13,541","$29,924","$1,316",$0,6/30/18
Florida,21,"FRANKEL, LOIS J.",Democratic Party,Incumbent,"$833,876","$439,513","$392,329",$0,"$643,380","$1,002,564",$0,6/30/18
Florida,21,"JETTA, KURT",Republican Party,Challenger,"$445,408","$115,407",$0,"$330,000","$444,886",$522,"$250,000",6/30/18
Florida,21,"SCHWARTZ, DEREK A.",Republican Party,Challenger,"$86,994","$30,430",$0,"$56,564","$86,994",$0,$0,5/14/18
Florida,22,"DEUTCH, THEODORE ELIOT",Democratic Party,Incumbent,"$965,300","$718,548","$240,450",$0,"$797,244","$497,529",$0,6/30/18
Florida,22,"FANDL, JEFF",Democratic Party,Challenger,"$15,000",$0,$0,"$15,000","$14,839",$161,"$15,000",6/30/18
Florida,22,"KIMAZ, NICOLAS T MR.",Republican Party,Challenger,"$142,162","$27,187",$0,"$114,975","$80,012","$62,150","$113,770",6/30/18
Florida,22,"MANJARRES, JAVIER",Republican Party,Challenger,"$63,337","$63,337",$0,$0,"$16,677","$46,660",$0,6/30/18
Florida,22,"SPAIN, PAUL DOUGLAS",Republican Party,Challenger,"$4,970","$2,763","$1,000","$1,207","$5,050",$0,"$147,990",6/30/18
Florida,23,"WASSERMAN SCHULTZ, DEBBIE",Democratic Party,Incumbent,"$1,614,914","$1,154,610","$388,750",$0,"$1,220,259","$551,817",$0,6/30/18
Florida,23,"CANOVA, TIMOTHY A.",Independent,Challenger,"$335,926","$304,224",$0,"$30,086","$356,941","$9,010","$50,061",6/30/18
Florida,23,"ENDRISS, DONALD",Unknown,Challenger,"$7,618",$0,$0,"$7,618","$7,038",$580,"$7,500",6/30/18
Florida,23,"KAUFMAN, JOSEPH ""JOE""",Republican Party,Challenger,"$34,918","$34,918",$0,$0,"$33,231","$390,768","$89,863",6/30/18
Florida,23,"REYES, CARLOS JOSE JR.",Republican Party,Challenger,"$332,316","$253,620",$500,"$77,900","$301,848","$30,468","$73,000",6/30/18
Florida,23,"SPALDING, CARLA ARLENE",Republican Party,Challenger,"$504,389","$502,578",$200,"$1,206","$449,383","$55,209","$104,987",6/30/18
Florida,24,"WILSON, FREDERICA S.",Democratic Party,Incumbent,"$287,429","$27,237","$260,000",$0,"$115,092","$512,287","$15,250",6/30/18
Florida,24,"DE LA FUENTE, RICARDO",Democratic Party,Challenger,"$10,600",$0,$0,"$10,600","$10,488",$112,"$10,600",6/30/18
Florida,24,"SOLA, LOUIS ERNEST",Republican Party,Challenger,"$99,000",$0,$0,"$99,000","$99,000",$0,$0,1/1/18
Florida,25,"BARZEE FLORES, MARY",Democratic Party,Open,"$1,183,258","$1,156,758","$23,000",$0,"$541,101","$642,157",$0,6/30/18
Florida,25,"DIAZ-BALART, MARIO",Republican Party,Incumbent,"$1,642,223","$626,021","$1,003,713",$0,"$520,457","$1,612,509",$0,6/30/18
Florida,25,"KARIM, ANNISA",Democratic Party,Challenger,"$26,436","$15,418",$0,$400,"$24,350","$2,086",$0,6/30/18
Florida,25,"VALDES, ALINA IRENE MD",Democratic Party,Challenger,"$23,900","$9,359",$0,"$4,101","$23,927",$0,$0,6/30/18
Florida,26,"CURBELO, CARLOS MR.",Republican Party,Incumbent,"$3,598,302","$1,249,003","$1,716,423",$0,"$1,040,691","$2,600,981",$0,6/30/18
Florida,26,"GRIMES, DEMETRIES A.",Democratic Party,Challenger,"$105,649","$103,149",$0,"$2,500","$61,870","$43,779",$0,6/30/18
Florida,26,"MACHAT, STEVEN",Democratic Party,Challenger,"$6,328","$6,328",$0,$0,"$6,959",-$631,$0,12/31/17
Florida,26,"MUCARSEL-POWELL, DEBBIE",Democratic Party,Challenger,"$1,658,756","$1,235,566","$155,900","$1,000","$394,392","$1,264,363",$0,6/30/18
Florida,27,"ADADI, ELIZABETH",Republican Party,Open,"$12,019",$486,$0,"$11,533","$11,669",$219,"$10,500",6/30/18
Florida,27,"BALAGUER, ARIADNA",Republican Party,Open,"$59,431","$3,981",$0,"$55,450","$58,811",$620,$0,6/30/18
Florida,27,"BARREIRO, BRUNO",Republican Party,Open,"$576,078","$574,078","$2,000",$0,"$396,369","$179,709",$0,6/30/18
Florida,27,"CHIRINO, ANGIE",Republican Party,Open,"$57,345","$57,345",$0,$0,"$54,076","-$10,576",$0,6/30/18
Florida,27,"FERRER, GABRIEL",Republican Party,Open,"$31,846","$1,500",$0,"$30,346","$33,930","-$2,085","$30,346",6/30/18
Florida,27,"FUHRMAN, SCOTT",Democratic Party,Open,"$121,325","$20,787",$0,"$100,000","$173,478",$839,$0,6/30/17
Florida,27,"HAGGMAN, MATTHEW W",Democratic Party,Open,"$1,343,680","$1,335,228",$0,"$8,100","$598,112","$745,568",$0,6/30/18
Florida,27,"HEPBURN, MICHAEL A.",Democratic Party,Open,"$30,543","$27,376",$264,"$2,904","$30,363",$180,$0,6/30/18
Florida,27,"JOLI, MAYRA",No Party Affiliation,Open,"$63,295","$22,404",$0,"$40,401","$61,345","$1,949",$0,6/30/18
Florida,27,"MARKS, STEPHEN",Republican Party,Open,"$450,000",$0,$0,"$450,000","$142,955","$307,045","$450,000",6/30/18
Florida,27,"OHEVZION, MICHAEL",Republican Party,Open,"$149,770","$14,770",$0,"$135,000","$117,141","$32,629","$100,000",6/30/18
Florida,27,"PEIRO, MARIA M",Republican Party,Open,"$15,501","$6,455",$0,"$8,870","$14,938",$563,"$24,294",6/30/18
Florida,27,"REGALADO, RAQUEL",Republican Party,Open,"$21,500","$21,500",$0,$0,"$21,500",$0,$0,1/26/18
Florida,27,"RICHARDSON, DAVID",Democratic Party,Open,"$1,847,012","$1,286,495","$49,780","$509,467","$1,085,036","$761,977","$500,000",6/30/18
Florida,27,"RODRIGUEZ, JOSE JAVIER",Democratic Party,Open,"$729,612","$624,703","$94,700",$0,"$531,238","$198,375",$0,6/30/18
Florida,27,"RODRIGUEZ-AGUILERA, BETTINA",Republican Party,Open,"$73,491","$57,371",$0,"$16,120","$72,077","$1,414","$14,400",6/30/18
Florida,27,"ROSEN GONZALEZ, KRISTEN",Democratic Party,Open,"$401,073","$394,328","$2,000","$2,720","$319,916","$81,458",$0,6/30/18
Florida,27,"RUSSELL, KEN",Democratic Party,Open,"$773,911","$746,661",$0,$0,"$648,311","$125,599",$0,6/30/18
Florida,27,"SALAZAR, MARIA ELVIRA",Republican Party,Open,"$643,130","$594,230","$4,000","$10,000","$64,916","$578,214","$10,000",6/30/18
Florida,27,"SHALALA, DONNA",Democratic Party,Open,"$1,941,474","$1,396,351","$10,700","$533,666","$810,457","$1,131,017","$500,000",6/30/18
Florida,27,"SOSA, GINA MS.",Republican Party,Open,"$8,797","$8,797",$0,$0,"$11,140","-$2,343",$0,6/30/18
Georgia,01,"CARTER, EARL LEROY",Republican Party,Incumbent,"$1,414,181","$579,115","$826,701",$0,"$983,545","$934,170",$0,6/30/18
Georgia,01,"RING, LISA M.",Democratic Party,Challenger,"$103,756","$102,731","$1,000",$25,"$91,532","$12,145",$0,6/30/18
Georgia,01,"SEIDMAN, BARBARA A",Democratic Party,Challenger,"$61,668","$2,379",$0,"$59,872","$56,163","$3,086",$0,5/29/18
Georgia,02,"BISHOP, SANFORD D",Democratic Party,Incumbent,"$782,471","$123,876","$657,595",$0,"$648,684","$331,966",$0,6/30/18
Georgia,02,"MCPHERSON, BRUCE WILLIAM",Republican Party,Challenger,"$115,085","$111,835",$250,"$1,000","$115,085",$0,"$5,000",4/11/18
Georgia,02,"WEST, HERMAN JR.",Republican Party,Challenger,"$11,824","$11,824",$0,$0,"$4,377","$2,007",$0,6/30/18
Georgia,03,"FERGUSON, ANDERSON DREW IV",Republican Party,Incumbent,"$910,580","$364,271","$545,809",$0,"$815,916","$136,786",$0,6/30/18
Georgia,03,"ENDERLIN, CHARLES JOSEPH JR.",Democratic Party,Challenger,"$28,166","$22,859",$0,"$5,307","$22,587","$5,579",$0,6/30/18
Georgia,03,"OLIVER, MELVIN RUSSELL MR.",Democratic Party,Challenger,"$15,841","$12,741",$0,$600,"$15,622",$220,"$2,500",6/30/18
Georgia,03,"SINGLETON, PHILIP JERALD",Republican Party,Challenger,"$20,753","$13,801",$0,"$6,952","$17,068",$0,$0,6/30/18
Georgia,04,"JOHNSON, HENRY C. 'HANK",Democratic Party,Incumbent,"$368,190","$32,190","$336,000",$0,"$326,742","$111,463","$6,211",6/30/18
Georgia,04,"GUILLORY, RYAN MR.",Democratic Party,Challenger,$120,$120,$0,$0,$0,$120,$0,12/31/17
Georgia,04,"PARKS, JUAN",Democratic Party,Challenger,"$14,685","$3,765",$0,"$10,920","$13,061","$1,624",$0,3/31/18
Georgia,04,"PROFIT, JOSEPH",Republican Party,Challenger,"$9,200","$3,700",$0,$0,"$13,126","-$3,926","$5,500",6/30/18
Georgia,05,"LEWIS, JOHN R.",Democratic Party,Incumbent,"$2,659,730","$2,255,643","$403,777",$0,"$1,383,808","$1,494,007",$0,6/30/18
Georgia,06,"ABROMS, DAVID",Republican Party,Open,"$289,963","$16,381",$0,"$272,470","$289,963",$0,$0,6/30/17
Georgia,06,"GRAWERT, KEITH JOSEPH",Republican Party,Open,"$52,674","$22,450",$0,"$30,234","$79,674","-$27,000",$0,12/31/17
Georgia,06,"GRAY, BOB",Republican Party,Open,"$834,972","$319,725","$7,950","$505,600","$834,904",$68,"$276,617",6/30/18
Georgia,06,"HERNANDEZ, ALEXANDER MR.",Independent,Open,"$5,716","$1,916",$0,"$3,800","$6,031",$0,$0,6/30/17
Georgia,06,"HILL, JUDSON",Republican Party,Open,"$821,466","$564,761","$88,390","$168,069","$821,466",$0,$0,9/5/17
Georgia,06,"KREMER, AMY",Republican Party,Open,"$19,852","$4,852",$0,"$15,000","$16,783","$3,069","$15,000",6/30/18
Georgia,06,"MOODY, DAN",Republican Party,Open,"$3,207,231","$130,763",$999,"$3,053,120","$3,207,231",$0,$0,6/7/18
Georgia,06,"OSSOFF, T. JONATHAN",Democratic Party,Open,"$31,485,404","$29,536,942","$372,353","$300,000","$31,172,227","$313,176","$175,000",6/30/18
Georgia,06,"SLOTIN, RONALD DAVID",Democratic Party,Open,"$81,280","$44,280",$0,$0,"$90,256","-$8,976","$37,000",4/27/17
Georgia,06,"HANDEL, KAREN CHRISTINE",Republican Party,Incumbent,"$7,720,836","$6,171,363","$1,216,469",$100,"$6,717,365","$1,003,471",$0,6/30/18
Georgia,06,"PRICE, THOMAS EDMUNDS*",Republican Party,Incumbent,"$3,078",$0,$0,$0,"$278,486","$1,855,848",$0,6/30/18
Georgia,06,"ABEL, KEVIN",Democratic Party,Challenger,"$794,076","$644,076",$0,$0,"$656,416","$137,660","$150,000",6/30/18
Georgia,06,"BHUIYAN, MOHAMMAD ALI",Republican Party,Challenger,"$35,035","$27,315",$0,"$7,720","$33,889","$1,146",$0,7/15/17
Georgia,06,"GRIFFIN, STEVEN KNIGHT",Democratic Party,Challenger,"$10,286","$4,416",$0,"$5,870","$9,317",$346,"$4,370",6/30/18
Georgia,06,"HARRELL, SALLY --",Democratic Party,Challenger,"$15,567","$15,367",$0,$0,"$24,688",$0,$0,12/31/17
Georgia,06,"KAPLE, BOBBY",Democratic Party,Challenger,"$688,889","$446,476","$14,750","$221,163","$683,622","$5,917","$221,163",6/30/18
Georgia,06,"KEATLEY, RICHARD",Democratic Party,Challenger,"$58,408","$58,408",$0,$0,"$59,799",$0,$0,6/30/18
Georgia,06,"LEVELL, BRUCE E",Republican Party,Challenger,"$65,531","$65,301",$0,$0,"$60,015",$0,$0,9/30/17
Georgia,06,"MCBATH, LUCIA KAY MS.",Democratic Party,Challenger,"$106,266","$90,393","$10,000","$5,873","$37,355","$68,911","$5,848",5/2/18
Georgia,06,"MCLAURIN, JOSHUA IVAN",Democratic Party,Challenger,$267,$267,$0,$0,"$43,735",$0,$0,3/14/17
Georgia,06,"POLLARD, ANDRE COLIN",Independent,Challenger,"$5,250","$4,818",$0,$432,"$5,250",$0,$432,9/30/17
Georgia,06,"WILSON, KURT",Republican Party,Challenger,"$339,445","$128,668",$0,"$210,776","$339,445",$0,$0,5/9/17
Georgia,07,"WOODALL, ROB REP.",Republican Party,Incumbent,"$724,912","$265,352","$459,550",$0,"$519,485","$528,880",$0,6/30/18
Georgia,07,"ALLEN, KATHLEEN",Democratic Party,Challenger,"$96,833","$45,833","$1,000","$25,000","$67,816","$29,012","$25,000",6/30/18
Georgia,07,"BOURDEAUX, CAROLYN",Democratic Party,Challenger,"$538,269","$529,877","$3,500","$4,319","$403,858","$134,361",$0,5/2/18
Georgia,07,"DAVIS, MELISSA",Democratic Party,Challenger,"$66,192","$45,092",$0,"$21,100","$66,192",$0,"$21,100",6/30/18
Georgia,07,"HAZEL, SHANE",Republican Party,Challenger,"$59,579","$59,377",$100,$0,"$59,579",$0,$0,6/29/18
Georgia,07,"KIM, DAVID",Democratic Party,Challenger,"$754,914","$222,818",$0,"$523,389","$685,023","$69,941","$295,000",5/2/18
Georgia,07,"PHAM, ETHAN",Democratic Party,Challenger,"$449,570","$276,959","$2,250","$165,255","$449,516",$55,"$150,000",6/30/18
Georgia,07,"REILLY, STEVEN M.",Democratic Party,Challenger,"$47,343","$38,127",$0,"$9,216","$45,886","$1,457",$0,6/30/18
Georgia,08,"SCOTT, JAMES AUSTIN",Republican Party,Incumbent,"$694,904","$171,754","$523,150",$0,"$471,141","$639,068",$0,6/30/18
Georgia,08,"ELLYSON, DANIEL",Republican Party,Challenger,"$1,227","$1,227",$0,$0,$609,-$409,$0,3/31/18
Georgia,08,"SWANN, WILLIE F MR.",Democratic Party,Challenger,"$13,675","$13,175",$500,$0,"$11,636","$2,039",$0,6/30/18
Georgia,09,"COLLINS, DOUGLAS ALLEN",Republican Party,Incumbent,"$994,495","$343,430","$646,100",$0,"$501,618","$689,155",$0,6/30/18
Georgia,09,"COOPER, DAVE",Democratic Party,Challenger,"$39,593","$20,493",$0,"$19,042","$28,842","$10,751","$19,042",5/2/18
Georgia,09,"GILMER, ROBIN AARON MR",Libertarian Party,Challenger,"$5,220",$0,$0,"$1,305","$5,220",$0,$0,4/15/18
Georgia,09,"MCCALL, JOSHUA BRAXTON",Democratic Party,Challenger,"$49,181","$48,049",$0,$132,"$29,764","$19,875",$0,6/30/18
Georgia,10,"HICE, JODY",Republican Party,Incumbent,"$438,297","$314,477","$123,820",$0,"$327,542","$182,312",$0,6/30/18
Georgia,10,"GRIFFIN, BRADLEY WILLIAM",Republican Party,Challenger,"$10,750",$450,$0,"$10,300","$10,739",$11,"$10,300",5/2/18
Georgia,10,"HUNT, JOSEPH WILLIAM MR.",Republican Party,Challenger,"$14,050","$12,550",$0,"$1,500","$13,444",$606,$0,5/23/18
Georgia,10,"JOHNSON-GREEN, TABITHA",Democratic Party,Challenger,"$9,453","$1,795",$600,"$5,280","$8,787",$665,$0,6/30/18
Georgia,10,"MONTGOMERY, CHALIS POMEROY",Democratic Party,Challenger,"$99,460","$98,815",$500,$140,"$96,754","-$14,274",$0,6/30/18
Georgia,10,"MOOREHEAD, PATRICK",Independent,Challenger,$70,$70,$0,$0,$54,$16,$0,12/7/17
Georgia,10,"WINFIELD, RICHARD DIEN",Democratic Party,Challenger,"$119,101","$102,845","$1,170",$0,"$128,039","-$8,939","$15,000",6/25/18
Georgia,11,"LLOP, WILLIAM",Republican Party,Open,"$2,500","$2,500",$0,$0,"$24,896","$231,912","$446,589",3/29/17
Georgia,11,"LOUDERMILK, BARRY",Republican Party,Incumbent,"$655,056","$169,436","$482,900",$0,"$320,723","$345,261",$0,6/30/18
Georgia,11,"BROADY, FLYNN D. JR.",Democratic Party,Challenger,"$34,840","$9,003",$0,"$25,220","$19,884","$14,955","$20,979",6/30/18
Georgia,11,"WYNN, QUENTIN ADAM",Democratic Party,Challenger,"$22,533","$12,533",$0,$0,"$9,454","$2,332",$546,4/15/18
Georgia,12,"ALLEN, RICHARD W",Republican Party,Incumbent,"$758,566","$427,651","$328,850",$0,"$437,623","$426,340","$1,125,000",6/30/18
Georgia,12,"INGHAM, ROBERT FRANCIS MR JR",Democratic Party,Challenger,"$5,879",$0,$0,"$6,378",$0,$0,$0,6/30/18
Georgia,12,"JOHNSON, FRANCYS",Democratic Party,Challenger,"$116,036","$87,193","$6,000","$20,380","$112,434","$3,601",$0,6/30/18
Georgia,12,"NESMITH, MICHAEL",Democratic Party,Challenger,"$39,939","$14,485","$2,015","$23,439","$38,674",$233,"$23,339",5/2/18
Georgia,12,"YU, EUGENE MR.",Republican Party,Challenger,"$35,330","$28,580",$0,"$6,750","$27,612","$1,212","$249,375",5/2/18
Georgia,13,"SCOTT, DAVID ALBERT",Democratic Party,Incumbent,"$905,147","$51,512","$853,059",$0,"$717,747","$544,511","$25,930",6/30/18
Georgia,13,"CALLAHAN, DAVID ALAN",Republican Party,Challenger,"$9,947",$0,$0,"$8,500","$8,723","$1,223",$0,6/30/18
Georgia,13,"COWEN, MARTIN LINDSEY MR. III",Libertarian Party,Challenger,"$16,450","$3,027",$0,"$13,330","$14,076","$2,374","$9,720",5/2/18
Georgia,13,"NEWLAND, K. ROSS",Republican Party,Challenger,$125,$125,$0,$0,$125,$0,$0,4/13/18
Georgia,14,"GRAVES, JOHN THOMAS MR. JR.",Republican Party,Incumbent,"$1,660,968","$618,763","$999,586",$0,"$702,689","$1,837,981",$0,6/30/18
Georgia,14,"FOSTER, STEVEN",Democratic Party,Challenger,"$11,392","$3,128",$587,"$6,854","$7,783","$3,609","$6,855",6/30/18
Guam,00,"BORDALLO, MADELEINE Z. MS.",Democratic Party,Incumbent,"$142,595","$59,620","$32,975","$50,000","$113,876","$47,437","$50,000",6/30/18
Guam,00,"BROOKS, DORIS FLORES",Republican Party,Challenger,"$10,000",$0,$0,"$10,000","$2,170","$7,830","$10,000",6/30/18
Guam,00,"SAN NICOLAS, MICHAEL F.Q. MR.",Democratic Party,Challenger,"$85,909","$46,041",$0,"$39,868","$33,176","$55,152","$25,891",6/30/18
Hawaii,01,"CASE, ED",Democratic Party,Open,"$272,811","$117,736","$5,000","$150,075","$158,746","$114,065","$150,075",6/30/18
Hawaii,01,"CHIN, DOUG",Democratic Party,Open,"$497,058","$480,453","$16,250",$355,"$218,989","$278,069",$0,6/30/18
Hawaii,01,"FUKUMOTO, BETH",Democratic Party,Open,"$70,548","$66,678","$3,750",$105,"$57,065","$13,483","$16,468",6/30/18
Hawaii,01,"ING, MARK KANIELA",Democratic Party,Open,"$277,001","$276,001","$1,000",$0,"$176,154","$100,847",$0,6/30/18
Hawaii,01,"KIM, DONNA MERCADO",Democratic Party,Open,"$629,875","$585,872","$42,500","$1,503","$369,901","$259,970","$2,725",6/30/18
Hawaii,01,"MARTIN, ERNEST YORIHIKO",Democratic Party,Open,"$361,648","$346,888","$14,250",$0,"$85,006","$276,642",$0,6/30/18
Hawaii,01,"HANABUSA, COLLEEN W.*",Democratic Party,Incumbent,"$132,366","$15,666","$116,200",$0,"$600,445","$49,736",$0,6/30/18
Hawaii,02,"GABBARD, TULSI",Democratic Party,Incumbent,"$1,173,745","$1,139,949","$26,700",$0,"$941,972","$2,279,273",$0,6/30/18
Hawaii,02,"ALU CAMPAGNA, SHERYL FRANCYS",Democratic Party,Challenger,"$27,512","$25,482",$0,$0,"$25,569","$2,649","$2,790",6/30/18
Hawaii,02,"AUSTIN, ANTHONY TONY",Democratic Party,Challenger,$555,$425,$0,$130,$396,$159,$0,6/30/18
Idaho,01,"FULCHER, RUSS",Republican Party,Open,"$612,499","$478,249","$99,250","$35,000","$524,307","$88,192","$35,000",6/30/18
Idaho,01,"GALLEGOS, ALEXANDER",Republican Party,Open,"$82,936","$67,815",$50,"$14,938","$82,936",$0,$0,6/30/18
Idaho,01,"HENDERSON, NICHOLAS",Republican Party,Open,"$1,937","$1,937",$0,$0,$701,$685,$0,4/25/18
Idaho,01,"HOWARD, WILLIAM",Libertarian Party,Open,"$1,390","$1,390",$0,$0,"$1,316",$74,$0,6/30/18
Idaho,01,"LEROY, DAVID H",Republican Party,Open,"$362,408","$240,834","$6,500","$113,074","$362,408",$0,$0,6/30/18
Idaho,01,"MALEK, LUCAS TODD",Republican Party,Open,"$299,910","$205,160","$63,250","$24,000","$296,715","$39,239","$14,455",6/30/18
Idaho,01,"MCNEIL, ANA",Democratic Party,Open,"$5,956","$5,636",$0,$320,"$2,637","$3,319",$320,6/30/18
Idaho,01,"PERRY, CHRISTY",Republican Party,Open,"$31,792","$11,335",$100,"$19,357","$31,662",$130,"$15,500",6/30/18
Idaho,01,"SNYDER, MICHAEL",Republican Party,Open,"$142,729","$136,587",$0,"$6,013","$140,821","$1,908","$4,000",6/30/18
Idaho,01,"VANDERMAAS, JAMES",Democratic Party,Open,"$17,948","$16,948",$0,"$1,000","$14,531","$3,416","$1,000",6/30/18
Idaho,01,"LABRADOR, RAUL R. HON.*",Republican Party,Incumbent,"$123,496","$44,271","$45,500","$10,000","$123,929",$327,$0,6/30/18
Idaho,02,"SIMPSON, MICHAEL",Republican Party,Incumbent,"$806,870","$260,970","$545,900",$0,"$733,552","$226,455",$0,6/30/18
Idaho,02,"SWISHER, CARLTON AARON",Democratic Party,Challenger,"$67,075","$64,975",$0,"$2,100","$55,124","$11,950",$500,6/30/18
Illinois,01,"RUSH, BOBBY LEE",Democratic Party,Incumbent,"$267,475","$17,975","$244,500",$0,"$255,188","$13,081","$25,589",6/30/18
Illinois,01,"RUDBECK, THOMAS MR.",Independent,Challenger,"$101,000","$101,000",$0,$0,"$83,059","$17,941",$0,6/30/18
Illinois,02,"KELLY, ROBIN",Democratic Party,Incumbent,"$724,302","$231,473","$490,997",$0,"$653,569","$464,818",$0,6/30/18
Illinois,03,"LIPINSKI, DANIEL WILLIAM WILLIAM",Democratic Party,Incumbent,"$1,373,057","$638,097","$732,860",$0,"$2,152,759","$478,519",$0,6/30/18
Illinois,03,"NEWMAN, MARIE",Democratic Party,Challenger,"$1,475,442","$1,220,769","$54,934","$173,160","$1,474,026","$1,415","$162,605",6/30/18
Illinois,04,"FLORES, SOL",Democratic Party,Open,"$341,189","$323,939","$17,250",$0,"$316,785","$24,404",$0,6/30/18
Illinois,04,"GARCIA, JESUS",Democratic Party,Open,"$677,625","$438,121","$184,616",$0,"$643,690","$33,935","$10,454",6/30/18
Illinois,04,"GONZALEZ, RICHARD",Democratic Party,Open,"$47,110","$14,700",$0,"$32,410","$42,179",$0,"$27,410",6/6/18
Illinois,04,"LOPEZ, RAYMOND ANTHONY MR.",Democratic Party,Open,"$4,350","$4,350",$0,$0,"$4,350",$0,$0,1/31/18
Illinois,04,"LORCH, MARK WAYNE",Republican Party,Open,"$8,109","$3,700",$0,"$4,409","$7,211",$898,"$4,409",6/30/18
Illinois,04,"RAMIREZ-ROSA, CARLOS MR.",Democratic Party,Open,"$22,323","$22,323",$0,$0,"$12,675","$9,648",$0,12/31/17
Illinois,04,"GUTIERREZ, LUIS V*",Democratic Party,Incumbent,"$117,730","$3,569","$31,000",$0,"$251,982","$21,910",$0,6/30/18
Illinois,05,"QUIGLEY, MIKE",Democratic Party,Incumbent,"$1,014,642","$538,242","$476,400",$0,"$1,050,741","$656,458",$0,6/30/18
Illinois,05,"MUSTAFA, SAMEENA",Democratic Party,Challenger,"$134,110","$122,843",$0,"$11,044","$134,110",$0,"$2,000",6/30/18
Illinois,05,"SCHWARTZBERG , STEVE J",Democratic Party,Challenger,"$19,697","$14,700",$100,"$4,758","$19,703",-$6,"$2,477",6/30/18
Illinois,05,"WOLF, BENJAMIN",Democratic Party,Challenger,"$75,646","$33,449",$0,"$42,091","$75,642",$4,$0,4/19/18
Illinois,06,"ROSKAM, PETER",Republican Party,Incumbent,"$4,429,669","$2,291,789","$2,098,582",$0,"$2,205,844","$2,337,558",$0,6/30/18
Illinois,06,"CASTEN, SEAN",Democratic Party,Challenger,"$2,038,971","$1,235,650","$117,222","$650,000","$1,391,936","$646,750","$630,000",6/30/18
Illinois,06,"CHENEY, CAROLE",Democratic Party,Challenger,"$350,425","$346,404","$3,750",$0,"$347,941","$2,485",$0,3/31/18
Illinois,06,"HAAF, GRACE",Democratic Party,Challenger,"$49,559","$49,559",$0,$0,"$51,011","-$1,452",$0,6/30/18
Illinois,06,"HOWLAND, AMANDA",Democratic Party,Challenger,"$198,264","$117,613",$500,"$80,022","$197,181",$341,"$87,607",6/30/18
Illinois,06,"HUFFMAN, RYAN",Democratic Party,Challenger,"$8,689","$7,962",$0,$670,"$8,674",$0,$0,6/20/18
Illinois,06,"MAZESKI, KELLY",Democratic Party,Challenger,"$923,501","$583,561","$31,223","$302,987","$922,572",$928,"$295,000",6/30/18
Illinois,06,"PRICE, SUZYN",Democratic Party,Challenger,"$40,141","$40,141",$0,$0,"$40,141",$0,$0,9/30/17
Illinois,06,"WILKINS, BECKY ANDERSON",Democratic Party,Challenger,"$322,767","$281,644",$0,"$41,110","$300,417","$22,350","$36,500",6/30/18
Illinois,06,"ZORDANI, JENNIFER MS.",Democratic Party,Challenger,"$110,844","$106,889",$500,$0,"$110,843",$1,"$3,455",3/31/18
Illinois,07,"DAVIS, DANNY K",Democratic Party,Incumbent,"$289,868","$31,768","$258,100",$0,"$347,200","$253,614","$58,955",6/30/18
Illinois,07,"CLARK, ANTHONY",Democratic Party,Challenger,"$91,307","$84,751","$3,963","$2,020","$91,307",$0,"$1,033",4/30/18
Illinois,07,"SALIM, AHMED",Democratic Party,Challenger,"$4,261","$4,161",$0,$100,"$3,380",-$37,$0,4/18/18
Illinois,08,"KRISHNAMOORTHI, S. RAJA",Democratic Party,Incumbent,"$4,286,749","$3,469,325","$801,785","$7,032","$849,933","$4,362,699",$0,6/30/18
Illinois,08,"DIGANVKER, JITENDRA JD",Republican Party,Challenger,"$29,863","$29,863",$0,$0,"$24,900","$1,499",$0,6/30/18
Illinois,08,"JHINGAN, VANDANA",Republican Party,Challenger,"$73,700","$62,700",$0,"$11,000","$73,700",$0,$0,3/31/18
Illinois,09,"SCHAKOWSKY, JANICE D",Democratic Party,Incumbent,"$1,254,579","$969,358","$282,975",$0,"$1,143,324","$460,892",$0,6/30/18
Illinois,09,"ELLESON, JOHN D",Republican Party,Challenger,"$37,727",$0,$0,"$37,527","$31,720","$6,007",$0,6/30/18
Illinois,09,"SANGARI, SARGIS",Republican Party,Challenger,"$66,869","$66,839",$0,$0,"$70,447",$0,$0,6/30/18
Illinois,10,"SCHNEIDER, BRADLEY SCOTT",Democratic Party,Incumbent,"$3,575,697","$2,645,319","$902,090",$0,"$1,219,651","$2,498,669",$0,6/30/18
Illinois,10,"BENNETT, DOUGLAS R 1963",Republican Party,Challenger,"$204,825","$76,926",$150,"$127,700","$160,202","$44,623","$115,600",6/30/18
Illinois,10,"RUTAGWIBIRA, ALOYS",Republican Party,Challenger,$320,$0,$0,$0,$472,$100,-$252,12/31/17
Illinois,10,"SHAH, SAPAN M.D. J.D.",Republican Party,Challenger,"$778,590","$472,128","$11,000","$293,524","$778,590",$0,$0,6/30/18
Illinois,10,"WYNES, JEREMY",Republican Party,Challenger,"$426,593","$400,191","$12,000","$12,700","$420,471","$6,122","$10,000",6/30/18
Illinois,11,"FOSTER, G. WILLIAM (BILL)",Democratic Party,Incumbent,"$1,832,162","$1,159,357","$572,000",$0,"$1,105,881","$3,014,062","$1,098,355",6/30/18
Illinois,11,"STELLA, DOMINICK J. M.D.",Republican Party,Challenger,"$187,393","$12,375",$0,"$175,000","$106,643","$81,826","$346,957",6/30/18
